Olesya
Nechkasova
c738f9e2789a61be0e64b5f0fd83a538
[23.4.2021 | 14:38:23] {"type":"cmd","data":"run"}
,[23.4.2021 | 14:38:24] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":7032,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":7032,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":7032,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":7032,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":7032,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":0,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:25] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:26] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":16,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:27] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:28] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:29] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:30] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:31] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:32] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:32] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:32] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:32] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:32] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:32] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:32] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:32] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:33] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6168,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:34] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:35] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:35] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:35] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:35] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:35] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:35] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6712,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:35] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":7032,"gpioe":272,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 14:38:35] {"client-id":"175e4ea7-7057-4ac8-b011-24cdb33942eb","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":7032,"gpioe":272,"modeltime":0,"type":"gpio"}
